box,title,address,type,types,kosher,phone,image-src
TONY'S TAPAS BAR & PIZZA,"TONY'S TAPAS BAR & PIZZA, תל אביב","לואי פסטר 3, תל אביב",null,null,null,03-5060222,https://images.rest.co.il/Rests/staticmaps/80328829/s1w566h250lon34.778934lat32.066236.png
כתר המזרח,"כתר המזרח, רמת החייל, תל אביב  שוק צפון, רמת החייל","ראול וולנברג 20, רמת החייל, תל אביב",מטבח ביתי,null,כשר,053-9379727,https://images.rest.co.il/Rests/staticmaps/80286817/s1w566h250lon34.837534lat32.110007.png
פרנה,"פרנה, רחוב הארבעה, תל אביב","קרליבך 14, רחוב הארבעה, תל אביב",null,null,₪,053-9383682,https://images.rest.co.il/Rests/staticmaps/80225367/s1w566h250lon34.782695lat32.07024.png
סיקיליה - Sicilia,"סיקיליה - Sicilia, תל אביב  רציף העליה השניה נמל יפו","האנגר 101, תל אביב",מסעדה איטלקית,אוכל איטלקי,null,053-9383173,https://images.rest.co.il/Rests/staticmaps/80290961/s1w566h250lon34.781472lat32.058917.png
ביג בן בר סלטים,"ביג בן בר סלטים, תל אביב","בית עובד 8, תל אביב",סנדוויץ' בר,null,null,053-9365841,https://images.rest.co.il/Rests/staticmaps/80185822/s1w566h250lon34.778934lat32.066236.png
לבונטין 7,"לבונטין 7, תל אביב","לבונטין 7, תל אביב",פאב-בר,null,null,053-9439470,https://images.rest.co.il/Rests/staticmaps/74697780/s1w566h250lon34.774958lat32.061761.png
בר על הים,"בר על הים, נמל תל-אביב  נמל","התערוכה 3, נמל תל-אביב",פאב-בר,null,כשר,053-9367764,https://images.rest.co.il/Rests/staticmaps/80169565/s1w566h250lon34.775565lat32.09727.png
חומוס לבלבי,"חומוס לבלבי, תל אביב","יהודה המכבי 13, תל אביב",חומוס,null,₪,053-9381184,https://images.rest.co.il/Rests/staticmaps/80224091/s1w566h250lon34.785673lat32.093834.png
חומוסיה - מדאמס,"חומוסיה - מדאמס, תל אביב","הדר יוסף 14, תל אביב",null,null,null,050-7656665,https://images.rest.co.il/Rests/staticmaps/80328950/s1w566h250lon34.778934lat32.066236.png
שמשירי,"שמשירי, פלורנטין, תל אביב","נחלת בנימין 99, פלורנטין, תל אביב",מסעדה פרסית,null,כשר למהדרין,053-9440101,https://images.rest.co.il/Rests/staticmaps/65027440/s1w566h250lon34.77259lat32.059975.png
אמ'ס קיטשן,"אמ'ס קיטשן, תל אביב","ויצמן 1, תל אביב",מסעדת בשרים,null,כשר,053-9385717,https://images.rest.co.il/Rests/staticmaps/80253159/s1w566h250lon34.788475lat32.077503.png
הפועלת - Hapoelet,"הפועלת - Hapoelet, תל אביב","בן יהודה 7, תל אביב",מטבח ביתי,null,null,053-9346803,https://images.rest.co.il/Rests/staticmaps/80317092/s1w566h250lon34.768089lat32.073977.png
דוסה בר,"דוסה בר, תל אביב","בן יהודה 188, תל אביב",מסעדה הודית,null,₪,053-9387606,https://images.rest.co.il/Rests/staticmaps/80225371/s1w566h250lon34.773597lat32.088534.png
ביגי זי בר,"ביגי זי בר, תל אביב","בוגרשוב 18, תל אביב",פאב-בר,null,null,053-7101811,https://images.rest.co.il/Rests/staticmaps/80145408/s1w566h250lon34.769142lat32.077199.png
ג'ורג' וג'ון - George & John,"ג'ורג' וג'ון - George & John, תל אביב  מתחם נוגה מושבה אמריקאית","אוארבך 6, תל אביב",מסעדה ים תיכונית,"בשרים , אוכל גורמה , דגים ופירות ים",null,053-9381936,https://images.rest.co.il/Rests/staticmaps/80286435/s1w566h250lon34.762607lat32.056835.png
פופה בר,"פופה בר, תל אביב","לינקולן 19, תל אביב",null,null,null,077-2302777,https://images.rest.co.il/Rests/staticmaps/80323237/s1w566h250lon34.778934lat32.066236.png
אורי שירותי קייטרינג,"אורי שירותי קייטרינג, צפון תל אביב","בורלא 52, צפון תל אביב",קייטרינג,null,null,053-9377785,https://images.rest.co.il/Rests/staticmaps/80280835/s1w566h250lon34.791326lat32.11146.png
וינה,"וינה, תל אביב","בן יהודה 62, תל אביב",מסעדה מזרח אירופאית,null,₪,053-9439177,https://images.rest.co.il/Rests/staticmaps/39064500/s1w566h250lon34.769241lat32.079063.png
רק בשר,"רק בשר, רמת החייל, תל אביב","ראול וולנברג 14, רמת החייל, תל אביב",מסעדת בשרים,בשרים והמבורגר,₪₪,053-9424614,https://images.rest.co.il/Rests/staticmaps/80082083/s1w566h250lon34.836396lat32.108998.png
הפיצה,"הפיצה, תל אביב","בוגרשוב 51, תל אביב",מסעדה איטלקית,"אוכל איטלקי , אוכל טבעוני , אוכל צמחוני , פיצה וויגן פרנדלי",₪,053-4362837,https://images.rest.co.il/Rests/staticmaps/80064157/s1w566h250lon34.771839lat32.075903.png
דוד ויוסף,"דוד ויוסף, תל אביב","מונטיפיורי 21, תל אביב",מסעדה צרפתית,"אוכל צרפתי , בשרים , דגים , פירות ים ואוכל ים תיכוני",₪₪₪,053-9444046,https://images.rest.co.il/Rests/staticmaps/80172247/s1w566h250lon34.77173lat32.065254.png
הסודית - The Secret Place Restaurant,"הסודית - The Secret Place Restaurant, תל אביב",תל אביב,null,null,null,053-9368863,https://images.rest.co.il/Rests/staticmaps/80170239/s1w566h250lon34.778934lat32.066236.png
קפה קפה - cafe cafe,"קפה קפה - cafe cafe, נמל תל-אביב  נמל","יורדי הסירה 1, נמל תל-אביב",בית קפה,null,"כשר בד""ץ",053-9377872,https://images.rest.co.il/Rests/staticmaps/80299896/s1w566h250lon34.773923lat32.096394.png
בצלאל,"בצלאל, תל אביב","המכבי 2, תל אביב",null,null,null,03-7566165,https://images.rest.co.il/Rests/staticmaps/80329574/s1w566h250lon34.778934lat32.066236.png
שובל מטעמים,"שובל מטעמים, תל אביב","סלומון 7, תל אביב",מסעדת בשרים,null,כשר,053-9381830,https://images.rest.co.il/Rests/staticmaps/80298069/s1w566h250lon34.779841lat32.061366.png
עדי יונה,"עדי יונה, תל אביב",תל אביב,קונדיטוריה-מאפיה,null,null,052-6760980,
רולדין,"רולדין, תל אביב","אורי צבי גרינברג 25, תל אביב",קונדיטוריה-מאפיה,null,null,03-6995561,https://images.rest.co.il/Rests/staticmaps/80326850/s1w566h250lon34.778934lat32.066236.png
חמדה עוגות,"חמדה עוגות, אבן גבירול, תל אביב","אבן גבירול 109, תל אביב",קונדיטוריה-מאפיה,null,null,074-7024664,https://images.rest.co.il/Rests/staticmaps/80104156/s1w566h250lon34.781936lat32.086786.png
חומוסים,"חומוסים, תל אביב","לילינבלום 21, תל אביב",חומוס,null,כשר,03-5166886,https://images.rest.co.il/Rests/staticmaps/80214525/s1w566h250lon34.770081lat32.062209.png
לחם וחצי,"לחם וחצי, תל אביב","נחלת יצחק 30, תל אביב",קונדיטוריה-מאפיה,null,null,053-9387591,https://images.rest.co.il/Rests/staticmaps/80230380/s1w566h250lon34.799758lat32.07407.png
אופא - Opa,"אופא - Opa, פלורנטין, תל אביב  שוק לוינסקי","החלוצים 8, פלורנטין, תל אביב",מסעדה צמחונית,null,null,053-9380926,https://images.rest.co.il/Rests/staticmaps/80302326/s1w566h250lon34.773298lat32.060052.png
פרינדס אנדר-גראונד - Friends Underground,"פרינדס אנדר-גראונד - Friends Underground, אבן גבירול, תל אביב  לונדון מיניסטור","אבן גבירול 30, תל אביב",פאב-בר,null,null,053-5494980,https://images.rest.co.il/Rests/staticmaps/80084882/s1w566h250lon34.781809lat32.075011.png
yildiz,"yildiz, מתחם שרונה, תל אביב  שרונה מרקט","אלוף קלמן מגן 3, מתחם שרונה, תל אביב",מסעדה תורכית,null,null,053-9376314,https://images.rest.co.il/Rests/staticmaps/80272299/s1w566h250lon34.787057lat32.071492.png
אמירוס,"אמירוס, פלורנטין, תל אביב","הרב יצחק ידידיה פרנקל 6, פלורנטין, תל אביב",פאב-בר,null,₪,053-4273125,https://images.rest.co.il/Rests/staticmaps/80238803/s1w566h250lon34.76791lat32.057074.png
ליייבררי בר,"ליייבררי בר, תל אביב","נחמני 23, תל אביב",פאב-בר,null,null,03-5435555,https://images.rest.co.il/Rests/staticmaps/80323487/s1w566h250lon34.778934lat32.066236.png
Browny,"Browny, רמת אביב, תל אביב","ברודצקי 17, רמת אביב, תל אביב",קונדיטוריה-מאפיה,null,null,053-9377671,https://images.rest.co.il/Rests/staticmaps/80300746/s1w566h250lon34.798004lat32.107341.png
מרקו - Mar&co,"מרקו - Mar&co, יפו, תל אביב  שוק פשפשים","אלעזר בן עזריה 6, יפו, תל אביב",מסעדת קונספט,null,₪₪,053-9384024,https://images.rest.co.il/Rests/staticmaps/80292562/s1w566h250lon34.757737lat32.053794.png
מסעדת קלמטה,"מסעדת קלמטה, יפו, תל אביב  יפו העתיקה","ככר קדומים 10, יפו, תל אביב",מסעדה ים תיכונית,null,null,053-9426824,https://images.rest.co.il/Rests/staticmaps/80097178/s1w566h250lon34.751496lat32.054206.png
ארומה,"ארומה, תל אביב  בית אמות ביטוח","דרך מנחם בגין 48, תל אביב",בית קפה,null,₪,053-9385018,https://images.rest.co.il/Rests/staticmaps/80235373/s1w566h250lon34.78004lat32.063412.png
שישקו,"שישקו, תל אביב  מאחורי הבית כנסת הגדול","הר סיני 2, תל אביב",פאב-בר,"אוכל בולגרי , אוכל טבעוני , אוכל צמחוני , בשרים ואוכל חלבי",null,053-9380958,https://images.rest.co.il/Rests/staticmaps/80103269/s1w566h250lon34.771943lat32.064421.png
כרמלי'ס בייגל בייקרי,"כרמלי'ס בייגל בייקרי, קניון עזריאלי, תל אביב  קניון עזריאלי","דרך מנחם בגין 132, קניון עזריאלי, תל אביב",בית קפה,null,כשר,053-8092753,https://images.rest.co.il/Rests/staticmaps/73580390/s1w566h250lon34.791061lat32.074354.png
איסלה,"איסלה, תל אביב","מונטיפיורי 27, תל אביב",null,null,null,03-7740222,https://images.rest.co.il/Rests/staticmaps/80321486/s1w566h250lon34.778934lat32.066236.png
א-לה רמפה,"א-לה רמפה, תל אביב","העמל 21, תל אביב",מסעדת בשרים,null,null,053-8096507,https://images.rest.co.il/Rests/staticmaps/80130579/s1w566h250lon34.773217lat32.052299.png
ארטיזן,"ארטיזן, תל אביב","ויצמן 22, תל אביב",null,null,null,03-6955657,https://images.rest.co.il/Rests/staticmaps/80165222/s1w566h250lon34.789202lat32.083211.png
וניליה - Vaniglia,"וניליה - Vaniglia, רמת אביב, תל אביב  קניון רמת אביב","איינשטיין 40, רמת אביב, תל אביב",גלידריה,null,כשר,053-9383138,https://images.rest.co.il/Rests/staticmaps/80274643/s1w566h250lon34.796078lat32.112774.png
בריאות LOVE,"בריאות LOVE, רמת החייל, תל אביב","הברזל 2, רמת החייל, תל אביב",בית קפה,null,כשר,053-9367603,https://images.rest.co.il/Rests/staticmaps/80186034/s1w566h250lon34.834722lat32.106432.png
ריבר נודלס בר - River,"ריבר נודלס בר - River, תל אביב","ויצמן 2, תל אביב",מסעדה אסייאתית,null,₪₪,*6969,https://images.rest.co.il/Rests/staticmaps/80227325/s1w566h250lon34.78866lat32.077598.png
מקדונלד'ס,"מקדונלד'ס, רמת אביב, תל אביב  קניון רמת אביב","איינשטיין 40, רמת אביב, תל אביב",מסעדת המבורגרים,null,₪,053-9439929,https://images.rest.co.il/Rests/staticmaps/37683970/s1w566h250lon34.794834lat32.112666.png
אנגוס,"אנגוס, רחוב הארבעה, תל אביב","הארבעה 20, תל אביב",מסעדת בשרים,null,null,053-5495022,https://images.rest.co.il/Rests/staticmaps/80320483/s1w566h250lon34.785458lat32.070288.png
ניטן תאי,"ניטן תאי, רחוב הארבעה, תל אביב","הארבעה 21, תל אביב",מסעדה אסייאתית,null,null,053-4245672,https://images.rest.co.il/Rests/staticmaps/80214337/s1w566h250lon34.787173lat32.070425.png
papa tata,"papa tata, תל אביב","הארבעה 10, תל אביב",null,null,null,077-3502500,https://images.rest.co.il/Rests/staticmaps/80329404/s1w566h250lon34.778934lat32.066236.png
חומוס אבו מוסא,"חומוס אבו מוסא, תל אביב","אבן גבירול 189, תל אביב",חומוס,null,null,03-5545537,https://images.rest.co.il/Rests/staticmaps/80322023/s1w566h250lon34.778934lat32.066236.png
שמחה ושימלי - שתה כפי יכולתך,"שמחה ושימלי - שתה כפי יכולתך, דיזנגוף, תל אביב","דיזנגוף, תל אביב",פאב-בר,null,null,052-6426535,https://images.rest.co.il/Rests/staticmaps/80136958/s1w566h250lon34.776158lat32.091567.png
ג'פניקה,"ג'פניקה, שדרות רוטשילד, תל אביב  פינת אלנבי","שד' רוטשילד 32, תל אביב",מסעדה אסייאתית,"אוכל אסייאתי , אוכל יפני , אוכל צמחוני , דגים וסושי",₪,03-7236100,https://images.rest.co.il/Rests/staticmaps/80048496/s1w566h250lon34.772939lat32.063296.png
קפה עלית-אספרסו בר,"קפה עלית-אספרסו בר, תל אביב  בית חולים איכילוב","ויצמן 6, תל אביב",בית קפה,null,כשר,053-4246251,https://images.rest.co.il/Rests/staticmaps/80113106/s1w566h250lon34.789077lat32.080129.png
גבי'ס קייטרינג - Gabi's Catering,"גבי'ס קייטרינג  - Gabi's Catering, תל אביב","הירקון 71, תל אביב",קייטרינג,null,₪₪,053-6130306,https://images.rest.co.il/Rests/staticmaps/80176687/s1w566h250lon34.7669lat32.076438.png
ארמנדו מסעדת דגים ובשרים - Armando,"ארמנדו מסעדת דגים ובשרים - Armando, תל אביב","הרברט סמואל 88, תל אביב",מסעדת דגים,בשרים ודגים,כשר,053-9377090,https://images.rest.co.il/Rests/staticmaps/80301049/s1w566h250lon34.766448lat32.077161.png
מסעדת אירועים בהיכל,"מסעדת אירועים בהיכל, יד אליהו, תל אביב","יגאל אלון 51, יד אליהו, תל אביב",מסעדת קונספט,null,null,053-9418812,https://images.rest.co.il/Rests/staticmaps/80127127/s1w566h250lon34.791914lat32.061511.png
לֶלּלָקֻאִס,"לֶלּלָקֻאִס, תל אביב","בן יהודה 226, תל אביב",ביסטרו,null,כשר,053-9375991,https://images.rest.co.il/Rests/staticmaps/80268958/s1w566h250lon34.774606lat32.091952.png
שניצל קומפני,"שניצל קומפני, תל אביב","ריב""ל 10, תל אביב",שניצליה,null,כשר,053-9439290,https://images.rest.co.il/Rests/staticmaps/73926730/s1w566h250lon34.782127lat32.062657.png
שקודה בר,"שקודה בר, נווה צדק, תל אביב","יהושע התלמי 12, נווה צדק, תל אביב",פאב-בר,null,null,053-9380757,https://images.rest.co.il/Rests/staticmaps/80288940/s1w566h250lon34.768565lat32.063279.png
קופי קונטיינר,"קופי קונטיינר, רמת אביב, תל אביב","רדינג 26, רמת אביב, תל אביב",בית קפה,null,₪,053-9377034,https://images.rest.co.il/Rests/staticmaps/80214505/s1w566h250lon34.794221lat32.106849.png
פיצה לילה - oggie's,"פיצה לילה - oggie's, פלורנטין, תל אביב","מרחביה 4, פלורנטין, תל אביב",פיצריה,null,₪,053-9383662,https://images.rest.co.il/Rests/staticmaps/80226525/s1w566h250lon34.772185lat32.06039.png
שאפל בר - Shuffle Florentin,"שאפל בר  - Shuffle Florentin, פלורנטין, תל אביב","פלורנטין 19, תל אביב",פאב-בר,null,null,053-7934187,https://images.rest.co.il/Rests/staticmaps/80183458/s1w566h250lon34.768991lat32.056283.png
בר בשר - bar,"בר בשר - bar, מעוז אביב, תל אביב","הדר יוסף 12, מעוז אביב, תל אביב",מסעדת בשרים,null,כשר,053-9439944,https://images.rest.co.il/Rests/staticmaps/80132543/s1w566h250lon34.818356lat32.109865.png
ארקפה - Arcaffe,"ארקפה - Arcaffe, תל אביב  מתחם שרונה",תל אביב,בית קפה,null,₪,053-9385154,https://images.rest.co.il/Rests/staticmaps/80236703/s1w566h250lon34.778934lat32.066236.png
פרינה - FARINA,"פרינה - FARINA, צפון תל אביב","יהודה הנשיא 34, צפון תל אביב",פיצריה,null,null,053-9386263,https://images.rest.co.il/Rests/staticmaps/80292257/s1w566h250lon34.795458lat32.119143.png
קפה 65,"קפה 65, שדרות רוטשילד, תל אביב","שד' רוטשילד 65, תל אביב",בית קפה,null,₪,053-9385830,https://images.rest.co.il/Rests/staticmaps/80254136/s1w566h250lon34.776589lat32.065412.png
מרינדו,"מרינדו, מתחם שרונה, תל אביב  מתחם שרונה מרקט","אלוף קלמן מגן 3, מתחם שרונה, תל אביב",מסעדת בשרים,null,₪,053-9387566,https://images.rest.co.il/Rests/staticmaps/80228641/s1w566h250lon34.787057lat32.071492.png
אלבי,"אלבי, יפו, תל אביב  שוק הפשפשים","עולי ציון 6, יפו, תל אביב",מסעדה יוונית,null,null,053-9419576,https://images.rest.co.il/Rests/staticmaps/80285719/s1w566h250lon34.755976lat32.053753.png
אבולעפיה,"אבולעפיה, יפו, תל אביב","יפת 4, יפו, תל אביב",חומוס,null,null,03-6828544,https://images.rest.co.il/Rests/staticmaps/80100251/s1w566h250lon34.755923lat32.054558.png
דוקטור שניצל,"דוקטור שניצל, תל אביב","טשרניחובסקי 2, תל אביב",שניצליה,null,null,053-9349578,https://images.rest.co.il/Rests/staticmaps/80311460/s1w566h250lon34.770201lat32.070807.png
מסקל טקילה בר - Mezcal Tequila Bar,"מסקל טקילה בר - Mezcal Tequila Bar, פלורנטין, תל אביב","ויטל חיים 2, פלורנטין, תל אביב",מסעדה מקסיקנית,null,₪₪,053-9438993,https://images.rest.co.il/Rests/staticmaps/80168031/s1w566h250lon34.767791lat32.056897.png
salata סלטה,"salata סלטה, תל אביב","נועם 4, תל אביב",null,null,null,053-4956485,https://images.rest.co.il/Rests/staticmaps/80327782/s1w566h250lon34.778934lat32.066236.png
קובה בר,"קובה בר, צפון תל אביב","טאגור 50, צפון תל אביב",מטבח ביתי,null,null,053-9367618,https://images.rest.co.il/Rests/staticmaps/80260074/s1w566h250lon34.799866lat32.118122.png
גלידת ויקטורי,"גלידת ויקטורי, יפו, תל אביב","יהודה מרגוזה 33, יפו, תל אביב",גלידריה,null,null,053-9440096,https://images.rest.co.il/Rests/staticmaps/35840260/s1w566h250lon34.753417lat32.050972.png
clumsy bar,"clumsy bar, תל אביב","הירקון 52, תל אביב",פאב-בר,null,null,053-9379360,https://images.rest.co.il/Rests/staticmaps/80219136/s1w566h250lon34.766263lat32.073591.png
פלאפל בלגי,"פלאפל בלגי, תל אביב","המלך ג'ורג' 45, תל אביב",מסעדה טבעונית,null,null,053-7105304,https://images.rest.co.il/Rests/staticmaps/80311048/s1w566h250lon34.775055lat32.073637.png
קאסיטה,"קאסיטה, תל אביב","רציף העלייה השנייה 48, תל אביב",מסעדת בשרים,null,null,03-7995011,https://images.rest.co.il/Rests/staticmaps/80328513/s1w566h250lon34.778934lat32.066236.png
חומוס פול ההגנה,"חומוס פול ההגנה, יד אליהו, תל אביב","דרך ההגנה 71, יד אליהו, תל אביב",חומוס,null,₪,053-9380104,https://images.rest.co.il/Rests/staticmaps/80220896/s1w566h250lon34.790485lat32.054133.png
כנאפה אל ג'מילה,"כנאפה אל ג'מילה, תל אביב",תל אביב,null,null,null,03-6230981,
אגאדיר,"אגאדיר , נחלת בנימין, תל אביב","נחלת בנימין 2, תל אביב",מסעדת המבורגרים,"אוכל טבעוני , בשרים , המבורגר , אוכל ללא גלוטן , פיוז'ן",₪₪,053-9366928,https://images.rest.co.il/Rests/staticmaps/80133911/s1w566h250lon34.770324lat32.069818.png
קפה גליה,"קפה גליה, תל אביב","המרד 29, תל אביב",בית קפה,null,null,03-5169495,https://images.rest.co.il/Rests/staticmaps/80177878/s1w566h250lon34.778934lat32.066236.png
HOC,"HOC, אבן גבירול, תל אביב","יצחק אלחנן 13, אבן גבירול, תל אביב",null,null,null,050-6585246,https://images.rest.co.il/Rests/staticmaps/80321483/s1w566h250lon34.781768lat32.0853.png
דואה DOHA,"דואה DOHA, תל אביב","תרמ""ב 37, תל אביב",null,null,null,052-6868399,https://images.rest.co.il/Rests/staticmaps/80323144/s1w566h250lon34.778934lat32.066236.png
Yoav Pizzeria & Gelateria,"Yoav Pizzeria & Gelateria, תל אביב","פיארברג 18, תל אביב",בית קפה,null,null,03-7262215,https://images.rest.co.il/Rests/staticmaps/80328728/s1w566h250lon34.778934lat32.066236.png
